content,sentiment
KEMBALIKAN FITUR STORY/STATUS PADA LINE !!,1
"Lemot, ada notif gada chat.",0
"Fitur lengkap, stiker menarik, dan nyaman digunakan untuk komunikasi sehari-hari.",1
gimana mau dapet verifikasi gak masuk ke gmail maksa banget tolol,0
masa gaisa login pke no tlp sekarang,0
"The cutest messaging app! The themes and stickers are amazing, and the voice call quality is always crisp and clear."" ⭐⭐⭐⭐⭐",1
Baik,1
aplikasi login paling ribet,0
"sayang banget, padahal bagus cuma emang perlu di rombak yang besar aja. tambahin fitur fitur kaya whatsapp atau instagram. jadiin stiker gada yang pake koin atau lebih tepatnya jadiin stiker gratis, dan apus iklan nya:(",0
Susah login sebab login menggunakan no hp sudah tidak bisa. sementara login pakai email juga tidak bisa karena email belum ditautkan ke akun. lalu tidak ada informasi lebih awal juga perihal penghapusan login pakai no hp.,0
kenapa gk bisa login pakai nomer hp...,0
login make no telpon dah gak bisa,0
gabisa log in & gabisa daftar baru,0
parah banget padahal pengen nostalgia malah akun lama ga bisa diakses karena kita WNI,0
verifikasi line terblok sementara tapi berulang kali. itu bukan verifikasi terblokir sementara tapi verifikasi terblokir permanen 😤,1
"masa gabisa login pake no hp, tolong diperbaiki dong. isinya di dalam penting semuaa",0
"aplikas ga niat ini,ngecwain pengguna,",0
INDONESIA CAN'T LOGIN !!!!!!,0
"bagus bagus aja kok tapi tolong line buat dong yang bisa bikin storyyy, biar bisa kode dia",1
seru banget aplikasinya bagus,1
sy tidak bisa login menggunakan nomor HP dan yahoo,0
"gabisa add friend, id kita not found. aneh.",0
gak bisa login akun lama. diminta scan QR gmn caranya? akun lama saya di hp yang udah rusak.,0
tolong di login lagi,1
udah ngga niat yg punya apk.daftar ngga masuk2 verifasi sampe puluhan menit.hapus aja apk ngga berguna,0
Buruk,0
"sekarang nyari Id aja dibatesin, gak asik",0
"kecewa saya, fitur penambahan nomor id sudah tidak bisa lagi. Lantas bagaimana dengan nomor id yang belum tertaut email login?? beri solusi dongg",0
kok gbis login pake no Tlp lagi ya padahal akun lama banyak tema sama sticker yang udah dibeli loh.. malah suruh bikin akun baru,0
"hadeh ribet bener nih masa kode otp nya dikirim ke perangkat lama sih 😭😔 mana hp ku rusak lcd nya hp yang dulu 😞🙏 makin kesini makin ribet ya apalagi kalau mau pake nomor telepon GK bisa, sekarang apk line seperti region lock aja sekarang mah seruan yang dulu 😭",0
bagus buat aku yang wa ny bermasalah,1
susah untuk login,0
"I can't log in to my account at all, the phone number login option is not available in my country, and I didn't link my google account before. Please provide an option to log in with just my id and password!! I'll just delete this app again if there is no other choice🙄",0
"The line application is so bad that you can't log in using a cellphone number,,, even though using a cellphone number is safer because there are notifications that come into the user's cellphone number too,,, (แอปพลิเคชัน Line แย่มากจนไม่สามารถล็อกอินโดยใช้หมายเลขโทรศัพท์มือถือได้...ทั้งๆ ที่การใช้หมายเลขโทรศัพท์มือถือปลอดภัยกว่า เพราะจะมีการแจ้งเตือนส่งมายังหมายเลขโทรศัพท์มือถือของผู้ใช้ด้วย) udah uninstall aja semuanya gak bagus line tidak bisa login pakai nomor hp",0
kalo lagi call suka ilang suaranya,1
"1. ORANG YANG SUDAH DI HAPUS PERTEMANAN MASIH BISA CHAT KE KITA 2. ORANG YANG SUDAH DI BLOKIR MASIH BISA LIHAT KITA GANTI PROFILE JADI BAGAIMANA CARA MENGHAPUS, MEMUTUS AKSES ORANG KE PROFILE KITA ???",0
Saya kasih bintang 1 dulu nih applikasi tidak jelas 🧐,0
Jepang banget,1
YANG BENER AJA LU .. MAU LOGIN GAME AJA PAKAI KODE VERIF .. 4 KODE .. SEDANGKAN LOGIN LINE AJA DIPERSULIT .. KAU INI APK MAU DIPAKE ORANG TAPI NYUSAHIN .. UDAJ DIMATIKAN LOGIN PAKAI VERIF .. KAUUU OTOMATISKAN PAKAI VERIF SEMUA .. INI GAME2 YG LOGIN VIA KAU .. HARUSNYA GA USAH PAKAI JASA APK KAU .. KALO KAU BISANYA CUMA NYUSAHIN PENGGUNA AJA,0
"ngga bisa upload kode qr buat login jadi susah, harus ada 2 perangkat, terus pas saya coba di laptop malah gk bisa",0
ga bisa login akun lama maaf bintang satu 😮‍💨🙏🏻,0
LINE pihaknya enga ada yang respon sama sekali KELUHAN pengguna tolong fiktur login nomor telepon lagih mohon di pertimbangkan untuk kembalikan login ke akun pake nomor telepon karna saya cuman pake nomor telepon untuk login,1
"plis makin lama mau login malah dipersulit anjir... line gw masih nyangkut di pc, gw login dengan email yg tertera. tp bilangnya selalu not registered, mksd gweh??? hehh di pc aja keterangan akun gw ter register by email itu. PLS JGN DIPERSULIT APA, ITU ISINYA URGENT SEMUA, HP LAMA GW KE RESET, GA BISA PINDAHIN. MANA LOGIN BY NOMOR UDH GABISA. SETIDAKNYA KLO MAU PKE QR, DI PC ADAIN JUGA QR, BIAR BISA LOGIN HADEUH",0
jelek bgt udah gabisa log in pake nomor di indonesia,0
"login pake telpon udah gak bisa, login pake google juga gak bisa karena tulisannya tidak ada akun tertaut, terus gimana kita mau login? kenapa gak ada pilihan login pake email buat perangkat utama baru? sistem dibikin ribet sendiri akhirnya pada kabur kan pengguna elu ke aplikasi lain",0
tidak bisa login padahal udah di hapus di HP yang lain tapi ga bisa login pas masuk pake email harus izin ke layar utama lah gelo ga bisa orang baru instal lagi gimana sih makin persulitkan tolong lah permudah minta verifikasi email aja udah cukup ga usah di persulitkan,0
aplikasi gak jelas sekarang udah gak bisa login pake no hp,0
mau login dengan no hp aja susah mau pindah akun harus minta kode verifikasi dulu kalo hp udah mati atau kereset pabrik susah minta kode verifikasinya,0
ribet,0
"saat ingin memasukkan id pengguna error terus dibilang tidak ada jaringan, padahal jaringan bagus, tolong diperbaiki lah ini servernya 🙏",1
Kenapa saya daftar pakek no hp sama gogel GK bisa ? Tolong bantuanya,0
kembalikan login dengan nomor hp,0
"ribet, akun lama ilang susah buat login ulang",0
"klo pake nomer udah gak bisa, setidaknya lewat gmail jangan harus pake QR atau kode yang dikirim ke line. kan login aja g bisa gimana mau tau kodenya... sengaja simpan data-data penting di line biar g hilang klo reset hp eh malah pas login dipersulit. tolong lah dipermudah",0
kenapa sekarang gak bisa login pakai nomer handphone,0
gabisa di buka,0
"jelek ,berat ,gerak dikit kena pembatasan, belibet dah pantes ni aplikasi sepi ga akan ku pake kalau bukan buat kuliah",1
Gajelas tiba tiba ga bisa login pake no hp. padahal akun line getrich aku disitu,0
tolong dong saya lupa pasword mau masuk .gi mana cara loginya,1
"tolong adakan login dengan nomor indonesia, saya mau beralih ke line saja",0
"aplikasi mati, ga bisa nambahin nomer telphone",0
"Ini serius gak bisa login langsung pake akun Google yang terdaftar? aku lupa sandi sedangkan kalau lupa sandi, verifikasi, ini itu segala macem harus ke Line di perangkat utama. Masalahnya hp lama ku dah rusak dan jelas artinya tuh hp gak bisa dibuka. Kenapa gak dikasih opsi kirim verifikasi ke gmail aja sih? aku dah nyoba login ulang ke perangkat yg lama dan dia tetep ngirim kode verifikasi ke ""perangkat lama"".",0
"login make gmail pun lamanya minta ampun, muter loading bug kah atau bagaimana? jangan menyulitkan orang pliss gw mau main game",0
"To LINE Developers Please help us (Indonesians) to allow or facilitate login via phone number or email. There's a lot of important data in our old accounts. Please pay attention and help. Sorry, I'm giving this a 1 rating because it hasn't been fixed yet.",0
"kenapa tidak bisa login, saya belum pernah download sebelum nya",0
tidak bisa login dengan nomer telpon,0
busuk,0
"ga jelas gabisa login pake nomor hape, gimana caranya login pakai nomor lama , kok gabisa",0
yes godd,1
"Jelek bgt,,Apk pop up paling Recomment versi gw 😁",0
pengurangan fitur 👎 kinerja lambat 👎 Sulit ganti video profil/sampul 👎,1
top markotop,1
KENAPA TIDAK BISA LOGIN DENGAN NOMOR TELEPON!!! PADAHAL ITU AKSES UTAMA NYA,0
bagus,1
masa sekarang apk line ada iklan slot judol sih ? parah,0
susah login ke akun saya,0
"I have had a LINE account for many years, linked to my phone number, and I purchased many paid stickers on it. I uninstalled LINE because I stopped using it, but I continued logging in via LINE Webtoon. Now I cannot access my LINE account because phone number login in my country is blocked, even though my number is still active. The account was never linked to an email. As a result, I lost access to an account where I spent a lot of money. This happened due to LINE’s policy change, not my neglig",0
"kenapa pas mau login tidak bisa? padahal saya sudah ada akun, malah disuruh tunggu 60 menit.",0
apik,1
"ayolah line, saya mau login ke akun lama saya. karena di sana saya jualan stiker. gimana ngambil duitnya njirrr😤😤",0
akun hilang gmail udh bener kaga bisa login,0
"aplikasi jadi tambah ribet nih, login ga bisa pake nomor telpon lagi akun getrich gue jadi ga bisa login hadeeeeeh",0
"sangat kecewa tdk bisa login pke no telpon,padahal sudah di tautkan dgn email jga,tpi ttp tidak bisa login...line jdi kacauuuuuu...",0
"Trus lah Berkarya kawan kita Butuh kesenangan Bukan, Prdebatan, Aku Cuma mengikuti Bukan Ada maunya,semangat4 untuk perjuang Receh🙏🥰♾️♻️🌐ლ(|||⌒εー|||)ლ((｀ι _´メ)",1
cukup,0
well nice sih,1
"apasi gabisa log in pake nomor hp, email juga katanya ga terhubung, padahal udah verif-_-",0
saya tidak bisa login dengan nomor HP saya. skrg harus login dengan email padahal saya kemarin daftar pakai nomor handphone,0
tidak bisa log lewat telpon data lama habis semua.paraah👎🏽👎🏽👎🏽,0
login nya loading lama bangeeett,0
please hapus iklan judinyaa,1
kembalikan kembali fitur login pakai nomer HP untuk akun lawas,0
kenapa line gak bs login pakai no hp ini lagi padahal satu satu ini hp yg saya pakai atau login ke e mail seharus bisa login,1
Mau masuk akun lama tidak bisa,0
buat apa masih dipasarin di indonesia klo login pake nomor indonesia aja udah gak tersedia padahal udah ada akun nya,0
"permudahkan saat kami ingin log.in ke akun lama,",0
"hai developer, sebenernya aplikasi nya uda bagus, namun sayang, login dengan nomor telepon sudah tidak bisa lagi digunakan, tolong dong line saya pake nomor telepon, ini urgent bangett! banyak data penting di line itu, tolong perbaiki agar bisa login dengan nomor telepon",1
stiker menarik dan fitur komunikasi yang beragam rmah pengguna,1
"SATU KATA UNTUK APPLIKASI INI yang ribet loginnya : ""BUNGUL""",0
"Line is a versatile messaging application that offers text messaging, voice calls, video calls, and a wide range of expressive stickers. Its additional social features make communication more enjoyable and interactive.",1
"ini gimana sih login harus pindah Akun,,, giliran mau login pake nomor HP malah gak bisa ,,, skg kok jd bruk gni",0
Good,1
"sekarang susah mau login akun lama di device baru karena ada verif 2 langkah segala pakai hp yg lama. iya kalau hpnya masih ada, kalau enggak?",0
"plis lahh linee, sandi sama gmail udah bnr knp ga bisa login sih. ya mikirlah kocakk gimana caranya login kalau aplikasi udah d hapussssss. pdhl sandinya udah tersimpan d gmail, otomatiss ya bnr tapi malah ga bisa login. anehhh, makin ga jls nih aplikasi",0
"eror,,notif nya tidak bisa tersambung ke internet",0
"please bring back the login via telepon number, the inconvenience is causing people to loose interest and dissapointed in line. including myself.",0
"kenapa sekarang untuk pindah akun di ribetkan?. handphone ku ini ke restart, dan akun line ku lupa password..",1
"lebih suka line yg dulu, bisa upload story, foto dan video ada linimasa juga.. penyimpanan tak terbatas.. bisa dapat teman bagus2 dari nearby, chating/telfon nyaman",0
"hahahha baru mau donlod lg malah gabisa pake no tlpn, trus email yg tersambung malah gabisa dahlah.",0
"kenapa aplikasi saya tidak bisa menerima permintaan pertemanan orang lain saat saya mau mengizinkan,aplikasi selalu mengatakan eror terus🙏🏻",0
Susah banget untuk login,0
"klo instalasinya gampang, pasti banyak yg mau pake. tapi sayang prosedur instalasinya ribet, disuruh sana sini, ujung²nya tetap gak bisa login juga. gak salah sih klo ratingnya turun dan pengguna lebih suka pake aplikasi sebelah yg serupa.",1
susah login ke akun lama,0
adanya fitur refresh otomatis malah selalu bug apknya,0
"skrg zaman udh canggih, setiap app pasti ingin semua pengguna nyaman dalam memakai app nya. tapi kenapa yang ini agak laen ya",0
kembalikan Login with number,0
big L,0
"login pake nomor telp udah gabisa. saya cek device utama line saya, gabisa pindah barcode chat. settingannya gada. ini gmn??",0
Tolong kembalikan opsi login menggunakan nomor telepon di Indonesia,1
"aku login email malah harus verifikasi pake hp lama huhu pdhl mah kan pake hp ini pakenya, susah bngt login nya",0
kebanyakan iklan,0
gabisa login menggunakan no telepon payah,0
"masa login pake akun lama dgn no hp ga bisa. pantes rating menurun, udh ga laku lagi line inj",0
secara keseluruhan mantul,1
"sangat menyulitkan dan menyusahkan user lama ,jadi udh ga bisa login pake no di Indonesia dan setiap menautkan email selalu di tolak padahal itu email udh bener dengan email yg lama",0
bagus sekali cuman lama di buka aplikasinya,1
"Stiker gua banyak, sekarang ga bisa login akun lama pake nomor telepon, pake email verfikasi pun ga bisa, gajelas emang line",0
apk busuk,0
"mohon untuk di adakan lagi log in dengan no tlp, banyak data2 penting yang ada akun lama",0
plis ga bisa login pake nomor telepon maupun email maksudnya apa yaaaa?!,0
Sangat Bagus 👍,1
"buat registrasi akun baru gak bisa sama sekali, suruh login email, tapi gak ada pilihan email yang bisa dipilih. cuma muter-muter doang",0
"Sulit ketika mau login,, pakai nomor tidak bisa, pakai google pun bilang nya ""akun belum tertaut"" padahal sudah, saya sebagai username lama sangat kecewa, banyak Dokumen yang di simpan di Aplikasi ini, tolong dong dukungan login nya untuk negara Indonesia di perhatikan lagi.",0
"woyy lineee, gimana sih tiba tiba gabisa login pake no hp, mana banyak data, tolong dong segara perbaiki, gajelas bgt nihhh",0
Mempersulit login! gajelas,0
metode login jgn dipersulit,0
"apaan sih,saya mau main getrich lagi ada akun lama saya dari 2014 massa gabisa login lagi gara gara gabisa pake nomor handphone,hadeuhhh, giliran pake google disuruh kode kodean mana ngga login di device mana mana massa minta kode,kode darimana coba,aneh ini apk",0
kenapa pas mau daftar nomornya idak bisa terdaftar di negara/wilayah.,0
"line aku hilang, balikin log in via nomor telepon",0
Tidak bisa login,0
kenapa setiap nyari eman pakai id line padahal privasi sudah umum tidak bisa menambahkan? harus pakai qr ?,0
adain lagi login pake nomor telp min,0
"gua mau login ga bisa, padahal user lama ini perbaiki lah apaansi",0
versi 2026 ga bisa nyimpen not,0
"akun lama ku hilang raib, ga bisa login katanya harus verif ke perangkat yg trtaut org HP nya satu",0
knp gbs login pake no hp...!!!,0
"apk lier ajglah gak bisa login sama sekali harus verif pindah akun, lahh rarudet jangan di download broo👎👎🦶🤢🤮",0
"i use Line Album as a storage of my workplace photos. Very Nice and support online sharing with my colleagues. How if Line add ""Search"" 🔍 inside ""Album"" . So from hundreds folders, i can find photo-folder that i want by searching its name",1
line tolong banget ini kenapa ya aplikasi kehapus dan ke logout pas login lagi di persulit tidak bisa pakai nomor telepon indonesia. pakai gmail pun tidak bisa. solusinya bagaimana? berharap fitur login dengan nomor telepon disediakan lagi,1
"hi developer, untuk aplikasi sudah bagus sangat disayangkan login dengan nomor telepon sudah tidak bisa digunakan lagi, kemudian login menggunakan email juga tidak bisa padahal email yang dimasukkan sudah benar dan ketikan email sudah dimasukan tertulis ""tidak tertaut"", tolong line saya login line menggunakan nomor telepon, ini urgent banget karna banyak data penting diakun line terebut, tolong diperbaiki agar bisa login line menggunakan nomor telepon. terimakasih",1
"line kemana perginya suara notif pesan masuk yg bernada ""LINE"" itu kenapa udah ga ada lagi , ga seseru dulu apl nya skrg hanya bisa suara notif Bawak an hp, dan gabisa tambahkan nomor hp yg ada di Indonesia hanya bisa melalui email. gimana sih ini mau login akun lama juga gabjsa karena kendala nomor hp , aku dh hampir 6 th gapake apl nya , giliran mau pake lagi semua udah berubah",1
login nya gimana ini kalo gak bisa pake no telepon🫠,0
aplikasinya bagus,1
loading lama kdanh pesan tidak terupdate,0
"pilihan nada notifikasinya udah gak ada, harus ngambil dari hp, sedih, padahal suka banget sama bunyi notif yg kayak suara robot marah² itu, download Line cuman buat dengerin itu aja tapi ternyata udah gak ada 🥺",1
update sekarang jelek sekali untuk login saja sudah tidak bisa sangat kecewa,0
gabisa login pake nomer,0
kak pleaseee balikin login dengan nomor huawaasw aku bayak banget memori penting disana 😭😭😭😭😭😭😭😭😭😭,1
kenapa gak bisa login menggunakan no hp. tolong kembalikan login menggunakan no hp,0
mau masuk aja susah langsung uninstall dari pada bikin sakit hati...,0
login dipersulit assyyuu,0
Tidak bisa mendaftarkan nomor telepon di line,0
bagus,1
"adain fitur baru dong, seperti cari lokasi",0
"Tolong kembalikan fitur untuk membuat avatarnya dong.. sebelum beberapa aplikasi membuat avatar udah duluan line, tapi sejak beberapa tahun terakhir karna di update firur untuk avatarnya hilangg sedih bangettt T_T padahal jauh lebih bagus di line avatarnya dari pada apilkasi lainnya..",1
"aplikasi oon, udah tau fitur² pada ditutup, stiker dinaikin harganya dongo",0
Tidak bisa login lagi karena hanya nomor HP cara untuk login ke akun saya,0
Makin susah loginnya,0
sangat puas,1
"Hai Develop, aku mau pake Line lgi nih soalnya lebih clean. Saran ya develop untuk Pengiriman Foto itu bisa tidak menu simpan otomatis ke galeri ditambhkan? karena setiap saya mengirim foto walaupun tidak saya simpan tpi saat saya kirim tetap tersimpan ke galeri. Tolong diperbaiki ya develop, kalau sudh diperbaiki saya kasi bintang 5 lgi",1
tidak dapat login menggunakan email atau nomor handphone,0
buat log in d persulit bgt... pake no hp udah g bisa. pake email pun harus ditautkan sama akun yg udah log in. sedangkan log in g bisa. mau d tautkan kmn line. tollol bgt,0
sebagai user lama sangat kecewa dengan Line sekarang. fitur login memakai nomor telepon dan email password untuk negara indonesia sudah tidak tersedia. Pihak Line seharusnya mendengarkan keluhan untuk pengguna Line terutama dinegara Indonesia. Karena sangat banyak data mereka yang kehilangan hanya karena 1 fitur login yang dihilangkan.,0
sekarang susah amat loginnya ribet. mana perangkat lama hp nya rusakkkk,0
ga bisa login akun lama yang hanya terkait menggunakan no telp,0
mau log in susahnya minta ampun . masa hrs bikin lagi .,0
"gk bisa log in ke akun lama, gimana caranya?",0
login di handphone baru pakai email dan no. TLP ga bisa juga,0
KENAPA LINE SEKARANG GA BISA LOGIN PAKE NOMOR HP LAGI SI? GAJELAS!!!,0
"terlalu banyak perubahan ,, sekarang ga bisa unggah video di profil",0
"GEMESSS, tapi tolong adain fitur ubah username PLEASEEE minimal sekali sebulan gak apa apaaaa T_____T thaankkk youuu :33",1
"fiturnya bagus banget tapi tolong banget developer saya gabisa login kalau cara login dengan nomor telepon dihapus, akun saya beserta datanya masih ada di akun tersebut sedangkan gmail yang biasa saya gunakan tidak bisa digunakan juga sebagai opsi login",1
mengapa tidak dapat menerima dan mengirimkan pesan,1
udh ga bisa daftar no tlpon tulisan tidak bisa pakai di negara wilayah anda. semua negara udah gue coba Cok masih ga bisa juga. persulit banget sih line nya. mau pakai nambah relasi teman susah !!!,0
Sekarang Udah Gak Bisa Login Pakai Nomor HP soalnya Line sudah Gak beroperasi lagi di indonesia. Bye Line Sampai Jumpa Di Kesempatan Yg Lain. 🙌🏻,0
"tidak bisa login menggunakan no telp dan email yg dulu, anehhh",0
"haduh, benar benar menyulitkan hanya untuk login saja",0
"sometimes when I want to upload a photo, it keep loading and failed. Then when my friend send me a photo, it also didn't appeared.",1
TOLONG KEMBALIKAN VITUR LINE VOOM UNTUK WILAYAH INDONESIA,0
"error gak bisa ngirim pesan, padahal akun baru bikin dan tidak melakukan kesalahan apapun",0
"line tolong kata ""teman"" di apknya bisa diubah pls jadi pasangan dll karena kami bukan just friend !!!",0
"tolong dong bisa login pakai tlp saya gK bisa masuk game sikron di line tapi line harus pakai tlp itu game udah bertahun""game lestgetrich.sangat kecewa saya masak harus main level 1 lagi. cok kebijakan apaan gak suport tlp di negara anda.level udah tinggi. diamon. cardnya udah yang baru semua legendary.akun 2013 bangke juga ada data penting. APK gak laku bukan intropeksi agar lebih baik malah ribet hancur tolong suport nomer tlp.dari kemarin saya cari solusi di goggle.Yt.PAYAH COOK EMOSI GUA ! !",0
aplikasi ini Ok bagus 🥰🥰,1
"halo, saya baru saja melakukan top up dengan pembayaran melalui qris. saldo saya sudah terpotong namun koin belum bertambah? di mana saya bisa mengajukan banding?",1
"Udah lama gak login, kemarin mau login ternyata sudah tidak bisa login pakai nomer hp, seharusnya fitur login pakai nomer hp jangan di hilangkan, akhirnya pengguna lama malas ingin menggunakan line lagi, karena akun lama tidak bisa login. apa lagi akun lama line tertaut game yang sudah pro, Kecewa sekali aktifkan lagi login dengan nomer HP dong",0
"gk bisa log pkai no hp, giliran pke email mlah diblokir",0
cukup bintang satu aja.....,0
udah tidak bisa login dengan no hp lagi gimana nih? akun line lama kan pakai no hp,0
masalah login ribet cuih,0
"jelek gbs log in user lama, ribet",0
login nya susah banget harus buka di perangkat utama padahal udah di logout dan uninstall sebelum pindah hp,0
aplikasi susah masuk,0
"tolong dong jangan terlalu ketat, ga ada sistem reset password lewat email seperti apk lain. Aku dh 3 akun buat dan gara gara hp nya rusak, kereset terus, akhirnya ga bisa masuk karena ternyata salah sandi, atau id atau barcode. menyusahkan jika sudah seperti ini",0
line aplikasi keren dari dulu sampai sekarang tp sayang di Indonesia jarang yang pakai line,1
perbaiki lagi login akun lama gak bisa lagi,0
enak banyak stikernya,1
good,1
"kenapa sih susah banget mau login pengguna lama, pake. segala gabisa pake no telpn, udah coba pake email yang bener tapi dibilang nya ngga tertaut gimana sih. makin kesini makin jelek aja, Uda bener yang biasa aja, ngapain segala di persulit. pake segala ada verification nya, lahh kalo perangkat nya aja gada ya gimana, lahh kalo ga nyngkut ya gimana? mikir atuhh🙄tolong dong balikin aja tuhh login pake no telpn daripada kek gini bikin orang bingung gabisa gimana",0
nyusahin kasih tutor yg bnr lah buat bisa log pake no tlpn di cht di ig malah di kirim bot,0
tolong dong Adain lagi masuk pake nomer telfon di Indonesia nggak bisa tapi negara lain Masi bisa padahal penting banget isi nya🥹🥹,0
bertahun tahun pake line tapi baru kali ini kecewa banget kerena gabisa log in pake nomer telepon. please tolong bisain karena banyak data penting di line,1
