userName,score,at,content
Pengguna Google,1,2026-06-19 15:33:34,"akun lama tiba"" hilang , mau daftar udah gak bisa karna nomer juga udah gak ada kebetulan dulu pas lago kerja di taiwan dan sekarang sudah pulang, giliran mau daftar baru juga gak bisa , tulisannya nomer telpon gk bisa ditambahkan . pakai nomer lain"" juga sama aja , apa iya ini aplikasi cuma bisa dipakai nomer luar aja ? tolong dong solusinya ."
Pengguna Google,1,2026-06-19 14:49:24,"tiba banget ga bisa login pake nomer sama email lama, banyak data, kontak penting di akun lama, tolong di perbaiki"
Pengguna Google,1,2026-06-19 14:12:51,"tolong kembalikan log in dengan no telpon, sedih banget tiba-tiba gabisa log in. uda ga bisa pake fb ga bisa juga pake email, kenapa si?"
Pengguna Google,5,2026-06-19 13:28:13,maaf ini line apakah bisa dikembalikan lagi login dengan no hp. saya pasang nya no hp. jadi akun nya hilang
Pengguna Google,1,2026-06-19 10:51:08,"GA NGERTI LAGI, MASA TIAP LOGIN DISURUH VERIVIKASI PINDAH PERANGKAT, SEDANGKAN HP GW DI RESET ULANG KE SETELAN PABRIK JADI GAK BISA LOGIN LAGI, UDAH DUA KALI LHO SAYA BUAT AKUN! ASTAGAAA"
Pengguna Google,1,2026-06-19 10:15:46,"chat saya yang lama setelah hapus line dan download lagi tidak bisa di lihat tolong perbaiki segera, kalau tidak aplikasi ini sangat jelek buruk so bad tidak bagus buruk sangat sangat 100000× lebih buruk dari kata buruk.. mohon kembalikan chat' saya segera!"
Pengguna Google,2,2026-06-19 09:19:24,"kok udah gk bisa menggunakan nomor ya, sedangkan di situ banyak teman kerja, tolong dong di benahi lagi"
Pengguna Google,1,2026-06-19 08:14:15,mohon untuk mengembalikan login via ponsel
Pengguna Google,3,2026-06-19 05:33:31,Semua orang dapat meliat nya
Pengguna Google,5,2026-06-19 01:53:24,stickernya lucu lucu
Pengguna Google,5,2026-06-18 22:53:51,Optimalkan dan tingkatkan stabilitas performa nya.. Trimakasih 🙂🙏🏻
Pengguna Google,1,2026-06-18 21:17:49,gabisa login menggunakan no hp indo
Pengguna Google,1,2026-06-18 20:17:56,gara gara gak bisa login lewat no hp akhirnya line ilang duh gimana sih line
Pengguna Google,3,2026-06-18 15:49:20,bagus
Pengguna Google,1,2026-06-18 11:42:49,Login nya lumayan ribet sih
Pengguna Google,1,2026-06-18 11:31:43,"aplikasi ini sangat buruk di gunakan bagi saya,dk tidak ada yang menarik di dalam nya"
Pengguna Google,1,2026-06-18 03:35:22,"Tidak bisa login menggunakan nomor Indonesia dan juga gmail, padahal sudah menautkan gmail"
Pengguna Google,1,2026-06-18 03:19:50,"developnya aneh, perangkat lama rusak gak nyala,,,, terus mau login perangkat baru pakai nomor ponsel indonesia tidak bisa... gimana mau loginnya? tolong perbaiki agar bisa login kembali dengan perangkat baru."
Pengguna Google,1,2026-06-17 17:57:36,ga bisa login
Pengguna Google,1,2026-06-17 16:30:19,"gabisa login pake nomor hp lagi, mana cuma di Indonesia aja, negara lain masih bisa. tolong balikin cara login by phone number!!!"
Pengguna Google,1,2026-06-17 15:27:18,kesulitan login
Pengguna Google,1,2026-06-17 13:00:23,jelek anjay masa gabisa login pake akun yang uda ada
Pengguna Google,1,2026-06-17 12:51:27,balikinnn pengaturan login pakai no hp foto semua ada di situuuuuuuuuuuu
Pengguna Google,3,2026-06-17 12:48:38,KEMBALIKAN FITUR STORY/STATUS PADA LINE !!
Pengguna Google,1,2026-06-17 12:44:31,"Lemot, ada notif gada chat."
Pengguna Google,5,2026-06-17 12:40:27,"Fitur lengkap, stiker menarik, dan nyaman digunakan untuk komunikasi sehari-hari."
Pengguna Google,1,2026-06-17 12:31:48,gimana mau dapet verifikasi gak masuk ke gmail maksa banget tolol
Pengguna Google,1,2026-06-17 11:42:06,masa gaisa login pke no tlp sekarang
Pengguna Google,5,2026-06-17 11:12:21,"The cutest messaging app! The themes and stickers are amazing, and the voice call quality is always crisp and clear."" ⭐⭐⭐⭐⭐"
Pengguna Google,5,2026-06-17 09:56:51,Baik
Pengguna Google,1,2026-06-17 09:53:30,aplikasi login paling ribet
Pengguna Google,2,2026-06-17 08:45:43,"sayang banget, padahal bagus cuma emang perlu di rombak yang besar aja. tambahin fitur fitur kaya whatsapp atau instagram. jadiin stiker gada yang pake koin atau lebih tepatnya jadiin stiker gratis, dan apus iklan nya:("
Pengguna Google,1,2026-06-17 08:35:58,Susah login sebab login menggunakan no hp sudah tidak bisa. sementara login pakai email juga tidak bisa karena email belum ditautkan ke akun. lalu tidak ada informasi lebih awal juga perihal penghapusan login pakai no hp.
Pengguna Google,1,2026-06-17 03:58:36,kenapa gk bisa login pakai nomer hp...
Pengguna Google,1,2026-06-17 02:18:38,login make no telpon dah gak bisa
Pengguna Google,1,2026-06-17 01:05:16,gabisa log in & gabisa daftar baru
Pengguna Google,1,2026-06-16 17:56:11,parah banget padahal pengen nostalgia malah akun lama ga bisa diakses karena kita WNI
Pengguna Google,3,2026-06-16 16:34:15,verifikasi line terblok sementara tapi berulang kali. itu bukan verifikasi terblokir sementara tapi verifikasi terblokir permanen 😤
Pengguna Google,1,2026-06-16 16:31:05,"masa gabisa login pake no hp, tolong diperbaiki dong. isinya di dalam penting semuaa"
Pengguna Google,1,2026-06-16 15:52:19,"aplikas ga niat ini,ngecwain pengguna,"
Pengguna Google,1,2026-06-16 15:11:27,INDONESIA CAN'T LOGIN !!!!!!
Pengguna Google,5,2026-06-16 12:47:04,"bagus bagus aja kok tapi tolong line buat dong yang bisa bikin storyyy, biar bisa kode dia"
Pengguna Google,5,2026-06-16 12:41:59,seru banget aplikasinya bagus
Pengguna Google,1,2026-06-16 11:58:26,sy tidak bisa login menggunakan nomor HP dan yahoo
Pengguna Google,1,2026-06-16 11:40:56,"gabisa add friend, id kita not found. aneh."
Pengguna Google,1,2026-06-16 10:06:09,gak bisa login akun lama. diminta scan QR gmn caranya? akun lama saya di hp yang udah rusak.
Pengguna Google,5,2026-06-16 06:46:09,tolong di login lagi
Pengguna Google,1,2026-06-16 02:48:29,udah ngga niat yg punya apk.daftar ngga masuk2 verifasi sampe puluhan menit.hapus aja apk ngga berguna
Pengguna Google,1,2026-06-16 01:32:22,Buruk
Pengguna Google,2,2026-06-16 00:34:50,"sekarang nyari Id aja dibatesin, gak asik"
Pengguna Google,1,2026-06-15 22:58:05,"kecewa saya, fitur penambahan nomor id sudah tidak bisa lagi. Lantas bagaimana dengan nomor id yang belum tertaut email login?? beri solusi dongg"
Pengguna Google,1,2026-06-15 19:06:34,kok gbis login pake no Tlp lagi ya padahal akun lama banyak tema sama sticker yang udah dibeli loh.. malah suruh bikin akun baru
Pengguna Google,1,2026-06-15 16:40:39,"hadeh ribet bener nih masa kode otp nya dikirim ke perangkat lama sih 😭😔 mana hp ku rusak lcd nya hp yang dulu 😞🙏 makin kesini makin ribet ya apalagi kalau mau pake nomor telepon GK bisa, sekarang apk line seperti region lock aja sekarang mah seruan yang dulu 😭"
Pengguna Google,5,2026-06-15 14:59:42,bagus buat aku yang wa ny bermasalah
Pengguna Google,1,2026-06-15 14:16:19,susah untuk login
Pengguna Google,1,2026-06-15 14:08:28,"I can't log in to my account at all, the phone number login option is not available in my country, and I didn't link my google account before. Please provide an option to log in with just my id and password!! I'll just delete this app again if there is no other choice🙄"
Pengguna Google,1,2026-06-15 13:50:31,"The line application is so bad that you can't log in using a cellphone number,,, even though using a cellphone number is safer because there are notifications that come into the user's cellphone number too,,, (แอปพลิเคชัน Line แย่มากจนไม่สามารถล็อกอินโดยใช้หมายเลขโทรศัพท์มือถือได้...ทั้งๆ ที่การใช้หมายเลขโทรศัพท์มือถือปลอดภัยกว่า เพราะจะมีการแจ้งเตือนส่งมายังหมายเลขโทรศัพท์มือถือของผู้ใช้ด้วย) udah uninstall aja semuanya gak bagus line tidak bisa login pakai nomor hp"
Pengguna Google,3,2026-06-15 12:13:05,kalo lagi call suka ilang suaranya
Pengguna Google,1,2026-06-15 09:27:02,"1. ORANG YANG SUDAH DI HAPUS PERTEMANAN MASIH BISA CHAT KE KITA 2. ORANG YANG SUDAH DI BLOKIR MASIH BISA LIHAT KITA GANTI PROFILE JADI BAGAIMANA CARA MENGHAPUS, MEMUTUS AKSES ORANG KE PROFILE KITA ???"
Pengguna Google,1,2026-06-15 07:52:01,Saya kasih bintang 1 dulu nih applikasi tidak jelas 🧐
Pengguna Google,5,2026-06-15 04:36:26,Jepang banget
Pengguna Google,1,2026-06-15 04:08:19,YANG BENER AJA LU .. MAU LOGIN GAME AJA PAKAI KODE VERIF .. 4 KODE .. SEDANGKAN LOGIN LINE AJA DIPERSULIT .. KAU INI APK MAU DIPAKE ORANG TAPI NYUSAHIN .. UDAJ DIMATIKAN LOGIN PAKAI VERIF .. KAUUU OTOMATISKAN PAKAI VERIF SEMUA .. INI GAME2 YG LOGIN VIA KAU .. HARUSNYA GA USAH PAKAI JASA APK KAU .. KALO KAU BISANYA CUMA NYUSAHIN PENGGUNA AJA
Pengguna Google,2,2026-06-15 04:01:13,"ngga bisa upload kode qr buat login jadi susah, harus ada 2 perangkat, terus pas saya coba di laptop malah gk bisa"
Pengguna Google,1,2026-06-14 19:41:36,ga bisa login akun lama maaf bintang satu 😮‍💨🙏🏻
Pengguna Google,3,2026-06-14 18:46:48,LINE pihaknya enga ada yang respon sama sekali KELUHAN pengguna tolong fiktur login nomor telepon lagih mohon di pertimbangkan untuk kembalikan login ke akun pake nomor telepon karna saya cuman pake nomor telepon untuk login
Pengguna Google,1,2026-06-14 14:56:24,"plis makin lama mau login malah dipersulit anjir... line gw masih nyangkut di pc, gw login dengan email yg tertera. tp bilangnya selalu not registered, mksd gweh??? hehh di pc aja keterangan akun gw ter register by email itu. PLS JGN DIPERSULIT APA, ITU ISINYA URGENT SEMUA, HP LAMA GW KE RESET, GA BISA PINDAHIN. MANA LOGIN BY NOMOR UDH GABISA. SETIDAKNYA KLO MAU PKE QR, DI PC ADAIN JUGA QR, BIAR BISA LOGIN HADEUH"
Pengguna Google,1,2026-06-14 13:06:11,jelek bgt udah gabisa log in pake nomor di indonesia
Pengguna Google,1,2026-06-14 12:16:20,"login pake telpon udah gak bisa, login pake google juga gak bisa karena tulisannya tidak ada akun tertaut, terus gimana kita mau login? kenapa gak ada pilihan login pake email buat perangkat utama baru? sistem dibikin ribet sendiri akhirnya pada kabur kan pengguna elu ke aplikasi lain"
Pengguna Google,1,2026-06-14 10:52:06,tidak bisa login padahal udah di hapus di HP yang lain tapi ga bisa login pas masuk pake email harus izin ke layar utama lah gelo ga bisa orang baru instal lagi gimana sih makin persulitkan tolong lah permudah minta verifikasi email aja udah cukup ga usah di persulitkan
Pengguna Google,1,2026-06-14 08:33:05,aplikasi gak jelas sekarang udah gak bisa login pake no hp
Pengguna Google,2,2026-06-14 05:25:59,mau login dengan no hp aja susah mau pindah akun harus minta kode verifikasi dulu kalo hp udah mati atau kereset pabrik susah minta kode verifikasinya
Pengguna Google,1,2026-06-14 03:37:06,ribet
Pengguna Google,3,2026-06-14 02:03:04,"saat ingin memasukkan id pengguna error terus dibilang tidak ada jaringan, padahal jaringan bagus, tolong diperbaiki lah ini servernya 🙏"
Pengguna Google,1,2026-06-14 01:30:22,Kenapa saya daftar pakek no hp sama gogel GK bisa ? Tolong bantuanya
Pengguna Google,1,2026-06-13 21:20:32,kembalikan login dengan nomor hp
Pengguna Google,1,2026-06-13 20:22:20,"ribet, akun lama ilang susah buat login ulang"
Pengguna Google,1,2026-06-13 19:04:39,"klo pake nomer udah gak bisa, setidaknya lewat gmail jangan harus pake QR atau kode yang dikirim ke line. kan login aja g bisa gimana mau tau kodenya... sengaja simpan data-data penting di line biar g hilang klo reset hp eh malah pas login dipersulit. tolong lah dipermudah"
Pengguna Google,1,2026-06-13 15:23:15,kenapa sekarang gak bisa login pakai nomer handphone
Pengguna Google,1,2026-06-13 10:14:29,gabisa di buka
Pengguna Google,3,2026-06-13 09:24:21,"jelek ,berat ,gerak dikit kena pembatasan, belibet dah pantes ni aplikasi sepi ga akan ku pake kalau bukan buat kuliah"
Pengguna Google,1,2026-06-13 08:31:19,Gajelas tiba tiba ga bisa login pake no hp. padahal akun line getrich aku disitu
Pengguna Google,4,2026-06-13 03:30:39,tolong dong saya lupa pasword mau masuk .gi mana cara loginya
Pengguna Google,2,2026-06-13 02:59:30,"tolong adakan login dengan nomor indonesia, saya mau beralih ke line saja"
Pengguna Google,1,2026-06-13 02:35:44,"aplikasi mati, ga bisa nambahin nomer telphone"
Pengguna Google,1,2026-06-12 22:01:02,"Ini serius gak bisa login langsung pake akun Google yang terdaftar? aku lupa sandi sedangkan kalau lupa sandi, verifikasi, ini itu segala macem harus ke Line di perangkat utama. Masalahnya hp lama ku dah rusak dan jelas artinya tuh hp gak bisa dibuka. Kenapa gak dikasih opsi kirim verifikasi ke gmail aja sih? aku dah nyoba login ulang ke perangkat yg lama dan dia tetep ngirim kode verifikasi ke ""perangkat lama""."
Pengguna Google,1,2026-06-12 19:42:25,"login make gmail pun lamanya minta ampun, muter loading bug kah atau bagaimana? jangan menyulitkan orang pliss gw mau main game"
Pengguna Google,1,2026-06-12 18:52:03,"To LINE Developers Please help us (Indonesians) to allow or facilitate login via phone number or email. There's a lot of important data in our old accounts. Please pay attention and help. Sorry, I'm giving this a 1 rating because it hasn't been fixed yet."
Pengguna Google,1,2026-06-12 13:15:37,"kenapa tidak bisa login, saya belum pernah download sebelum nya"
Pengguna Google,1,2026-06-12 07:26:04,tidak bisa login dengan nomer telpon
Pengguna Google,1,2026-06-12 03:28:24,busuk
Pengguna Google,2,2026-06-12 01:16:27,"ga jelas gabisa login pake nomor hape, gimana caranya login pakai nomor lama , kok gabisa"
Pengguna Google,5,2026-06-11 18:51:01,yes godd
Pengguna Google,1,2026-06-11 18:20:45,"Jelek bgt,,Apk pop up paling Recomment versi gw 😁"
Pengguna Google,3,2026-06-11 17:15:23,pengurangan fitur 👎 kinerja lambat 👎 Sulit ganti video profil/sampul 👎
Pengguna Google,5,2026-06-11 14:18:19,top markotop
Pengguna Google,1,2026-06-11 12:05:26,KENAPA TIDAK BISA LOGIN DENGAN NOMOR TELEPON!!! PADAHAL ITU AKSES UTAMA NYA
Pengguna Google,5,2026-06-11 10:24:44,bagus
Pengguna Google,1,2026-06-11 09:33:34,masa sekarang apk line ada iklan slot judol sih ? parah
Pengguna Google,1,2026-06-11 08:23:09,susah login ke akun saya
Pengguna Google,1,2026-06-11 07:40:09,"I have had a LINE account for many years, linked to my phone number, and I purchased many paid stickers on it. I uninstalled LINE because I stopped using it, but I continued logging in via LINE Webtoon. Now I cannot access my LINE account because phone number login in my country is blocked, even though my number is still active. The account was never linked to an email. As a result, I lost access to an account where I spent a lot of money. This happened due to LINE’s policy change, not my neglig"
Pengguna Google,1,2026-06-11 07:25:42,"kenapa pas mau login tidak bisa? padahal saya sudah ada akun, malah disuruh tunggu 60 menit."
Pengguna Google,5,2026-06-11 05:42:27,apik
Pengguna Google,2,2026-06-11 01:50:05,"ayolah line, saya mau login ke akun lama saya. karena di sana saya jualan stiker. gimana ngambil duitnya njirrr😤😤"
Pengguna Google,1,2026-06-10 21:02:09,akun hilang gmail udh bener kaga bisa login
Pengguna Google,1,2026-06-10 17:49:09,"aplikasi jadi tambah ribet nih, login ga bisa pake nomor telpon lagi akun getrich gue jadi ga bisa login hadeeeeeh"
Pengguna Google,1,2026-06-10 17:14:05,"sangat kecewa tdk bisa login pke no telpon,padahal sudah di tautkan dgn email jga,tpi ttp tidak bisa login...line jdi kacauuuuuu..."
Pengguna Google,5,2026-06-10 14:24:15,"Trus lah Berkarya kawan kita Butuh kesenangan Bukan, Prdebatan, Aku Cuma mengikuti Bukan Ada maunya,semangat4 untuk perjuang Receh🙏🥰♾️♻️🌐ლ(|||⌒εー|||)ლ((｀ι _´メ)"
Pengguna Google,2,2026-06-10 13:12:49,cukup
Pengguna Google,5,2026-06-10 12:53:54,well nice sih
Pengguna Google,1,2026-06-10 08:05:32,"apasi gabisa log in pake nomor hp, email juga katanya ga terhubung, padahal udah verif-_-"
Pengguna Google,1,2026-06-10 03:24:35,saya tidak bisa login dengan nomor HP saya. skrg harus login dengan email padahal saya kemarin daftar pakai nomor handphone
Pengguna Google,1,2026-06-10 01:56:34,tidak bisa log lewat telpon data lama habis semua.paraah👎🏽👎🏽👎🏽
Pengguna Google,1,2026-06-09 23:47:19,login nya loading lama bangeeett
Pengguna Google,4,2026-06-09 23:24:03,please hapus iklan judinyaa
Pengguna Google,1,2026-06-09 23:03:24,kembalikan kembali fitur login pakai nomer HP untuk akun lawas
Pengguna Google,5,2026-06-09 20:22:07,kenapa line gak bs login pakai no hp ini lagi padahal satu satu ini hp yg saya pakai atau login ke e mail seharus bisa login
Pengguna Google,1,2026-06-09 07:07:06,Mau masuk akun lama tidak bisa
Pengguna Google,1,2026-06-09 06:46:40,buat apa masih dipasarin di indonesia klo login pake nomor indonesia aja udah gak tersedia padahal udah ada akun nya
Pengguna Google,1,2026-06-09 05:55:41,"permudahkan saat kami ingin log.in ke akun lama,"
Pengguna Google,3,2026-06-09 04:03:15,"hai developer, sebenernya aplikasi nya uda bagus, namun sayang, login dengan nomor telepon sudah tidak bisa lagi digunakan, tolong dong line saya pake nomor telepon, ini urgent bangett! banyak data penting di line itu, tolong perbaiki agar bisa login dengan nomor telepon"
Pengguna Google,5,2026-06-09 02:00:51,stiker menarik dan fitur komunikasi yang beragam rmah pengguna
Pengguna Google,1,2026-06-08 23:56:01,"SATU KATA UNTUK APPLIKASI INI yang ribet loginnya : ""BUNGUL"""
Pengguna Google,5,2026-06-08 14:30:10,"Line is a versatile messaging application that offers text messaging, voice calls, video calls, and a wide range of expressive stickers. Its additional social features make communication more enjoyable and interactive."
Pengguna Google,1,2026-06-08 11:34:30,"ini gimana sih login harus pindah Akun,,, giliran mau login pake nomor HP malah gak bisa ,,, skg kok jd bruk gni"
Pengguna Google,4,2026-06-08 10:11:47,Good
Pengguna Google,1,2026-06-08 10:10:29,"sekarang susah mau login akun lama di device baru karena ada verif 2 langkah segala pakai hp yg lama. iya kalau hpnya masih ada, kalau enggak?"
Pengguna Google,1,2026-06-08 04:47:21,"plis lahh linee, sandi sama gmail udah bnr knp ga bisa login sih. ya mikirlah kocakk gimana caranya login kalau aplikasi udah d hapussssss. pdhl sandinya udah tersimpan d gmail, otomatiss ya bnr tapi malah ga bisa login. anehhh, makin ga jls nih aplikasi"
Pengguna Google,1,2026-06-08 04:32:36,"eror,,notif nya tidak bisa tersambung ke internet"
Pengguna Google,1,2026-06-07 11:28:27,"please bring back the login via telepon number, the inconvenience is causing people to loose interest and dissapointed in line. including myself."
Pengguna Google,3,2026-06-07 08:52:06,"kenapa sekarang untuk pindah akun di ribetkan?. handphone ku ini ke restart, dan akun line ku lupa password.."
Pengguna Google,2,2026-06-07 08:36:45,"lebih suka line yg dulu, bisa upload story, foto dan video ada linimasa juga.. penyimpanan tak terbatas.. bisa dapat teman bagus2 dari nearby, chating/telfon nyaman"
Pengguna Google,1,2026-06-07 07:13:39,"hahahha baru mau donlod lg malah gabisa pake no tlpn, trus email yg tersambung malah gabisa dahlah."
Pengguna Google,2,2026-06-07 06:10:18,"kenapa aplikasi saya tidak bisa menerima permintaan pertemanan orang lain saat saya mau mengizinkan,aplikasi selalu mengatakan eror terus🙏🏻"
Pengguna Google,1,2026-06-07 05:41:56,Susah banget untuk login
Pengguna Google,3,2026-06-07 05:07:37,"klo instalasinya gampang, pasti banyak yg mau pake. tapi sayang prosedur instalasinya ribet, disuruh sana sini, ujung²nya tetap gak bisa login juga. gak salah sih klo ratingnya turun dan pengguna lebih suka pake aplikasi sebelah yg serupa."
Pengguna Google,1,2026-06-07 02:16:53,susah login ke akun lama
Pengguna Google,2,2026-06-06 21:55:30,adanya fitur refresh otomatis malah selalu bug apknya
Pengguna Google,1,2026-06-06 17:56:57,"skrg zaman udh canggih, setiap app pasti ingin semua pengguna nyaman dalam memakai app nya. tapi kenapa yang ini agak laen ya"
Pengguna Google,1,2026-06-06 16:03:09,kembalikan Login with number
Pengguna Google,1,2026-06-06 15:02:20,big L
Pengguna Google,2,2026-06-06 13:22:33,"login pake nomor telp udah gabisa. saya cek device utama line saya, gabisa pindah barcode chat. settingannya gada. ini gmn??"
Pengguna Google,4,2026-06-06 12:45:39,Tolong kembalikan opsi login menggunakan nomor telepon di Indonesia
Pengguna Google,1,2026-06-06 12:35:04,"aku login email malah harus verifikasi pake hp lama huhu pdhl mah kan pake hp ini pakenya, susah bngt login nya"
Pengguna Google,1,2026-06-06 12:18:45,kebanyakan iklan
Pengguna Google,1,2026-06-06 10:03:29,gabisa login menggunakan no telepon payah
Pengguna Google,1,2026-06-06 08:26:59,"masa login pake akun lama dgn no hp ga bisa. pantes rating menurun, udh ga laku lagi line inj"
Pengguna Google,5,2026-06-06 05:58:49,secara keseluruhan mantul
Pengguna Google,1,2026-06-06 05:05:25,"sangat menyulitkan dan menyusahkan user lama ,jadi udh ga bisa login pake no di Indonesia dan setiap menautkan email selalu di tolak padahal itu email udh bener dengan email yg lama"
Pengguna Google,5,2026-06-06 01:32:44,bagus sekali cuman lama di buka aplikasinya
Pengguna Google,1,2026-06-05 20:57:31,"Stiker gua banyak, sekarang ga bisa login akun lama pake nomor telepon, pake email verfikasi pun ga bisa, gajelas emang line"
Pengguna Google,1,2026-06-05 20:17:32,apk busuk
Pengguna Google,1,2026-06-05 12:39:46,"mohon untuk di adakan lagi log in dengan no tlp, banyak data2 penting yang ada akun lama"
Pengguna Google,1,2026-06-05 07:52:56,plis ga bisa login pake nomor telepon maupun email maksudnya apa yaaaa?!
Pengguna Google,5,2026-06-05 04:16:55,Sangat Bagus 👍
Pengguna Google,1,2026-06-05 03:01:37,"buat registrasi akun baru gak bisa sama sekali, suruh login email, tapi gak ada pilihan email yang bisa dipilih. cuma muter-muter doang"
Pengguna Google,1,2026-06-05 00:54:48,"Sulit ketika mau login,, pakai nomor tidak bisa, pakai google pun bilang nya ""akun belum tertaut"" padahal sudah, saya sebagai username lama sangat kecewa, banyak Dokumen yang di simpan di Aplikasi ini, tolong dong dukungan login nya untuk negara Indonesia di perhatikan lagi."
Pengguna Google,1,2026-06-04 19:51:57,"woyy lineee, gimana sih tiba tiba gabisa login pake no hp, mana banyak data, tolong dong segara perbaiki, gajelas bgt nihhh"
Pengguna Google,1,2026-06-04 18:14:04,Mempersulit login! gajelas
Pengguna Google,1,2026-06-04 16:50:32,metode login jgn dipersulit
Pengguna Google,1,2026-06-04 15:00:13,"apaan sih,saya mau main getrich lagi ada akun lama saya dari 2014 massa gabisa login lagi gara gara gabisa pake nomor handphone,hadeuhhh, giliran pake google disuruh kode kodean mana ngga login di device mana mana massa minta kode,kode darimana coba,aneh ini apk"
Pengguna Google,1,2026-06-04 13:56:27,kenapa pas mau daftar nomornya idak bisa terdaftar di negara/wilayah.
Pengguna Google,1,2026-06-04 13:20:03,"line aku hilang, balikin log in via nomor telepon"
Pengguna Google,1,2026-06-04 12:52:49,Tidak bisa login
